MatchID,Error
66994,list index out of range
80546,list index out of range
78962,list index out of range
75774,list index out of range
76130,list index out of range
80532,list index out of range
80518,list index out of range
66995,list index out of range
80547,list index out of range
78967,list index out of range
80533,list index out of range
80583,list index out of range
80519,list index out of range
66996,list index out of range
80548,list index out of range
78968,list index out of range
80535,list index out of range
80584,list index out of range
80520,list index out of range
66998,list index out of range
80549,list index out of range
80536,list index out of range
80585,list index out of range
66999,list index out of range
80941,list index out of range
80918,list index out of range
80537,list index out of range
80586,list index out of range
80919,list index out of range
81341,list index out of range
80587,list index out of range
80539,list index out of range
80561,list index out of range
80920,list index out of range
81343,list index out of range
80588,list index out of range
80540,list index out of range
67794,list index out of range
80551,list index out of range
80563,list index out of range
81344,list index out of range
80124,list index out of range
80589,list index out of range
81714,list index out of range
80934,list index out of range
80564,list index out of range
80552,list index out of range
80571,list index out of range
81345,list index out of range
80125,list index out of range
80590,list index out of range
81715,list index out of range
80938,list index out of range
80565,list index out of range
80553,list index out of range
80572,list index out of range
80126,list index out of range
81741,list index out of range
81716,list index out of range
80939,list index out of range
81381,list index out of range
80566,list index out of range
80554,list index out of range
80573,list index out of range
80127,list index out of range
81717,list index out of range
80940,list index out of range
81382,list index out of range
80567,list index out of range
80556,list index out of range
80574,list index out of range
80128,list index out of range
81719,list index out of range
81383,list index out of range
80568,list index out of range
81336,list index out of range
80557,list index out of range
80576,list index out of range
80521,list index out of range
83747,list index out of range
81384,list index out of range
81337,list index out of range
80570,list index out of range
80558,list index out of range
80577,list index out of range
80522,list index out of range
83748,list index out of range
81385,list index out of range
81338,list index out of range
80560,list index out of range
80578,list index out of range
80523,list index out of range
83749,list index out of range
81761,list index out of range
81386,list index out of range
81339,list index out of range
80579,list index out of range
80525,list index out of range
71797,list index out of range
81353,list index out of range
83750,list index out of range
81731,list index out of range
80580,list index out of range
80528,list index out of range
81354,list index out of range
81734,list index out of range
80530,list index out of range
81358,list index out of range
81374,list index out of range
81735,list index out of range
80921,list index out of range
